id;pseudo;mot_de_passe;date_inscription;est_administrateur
1;frantically;rudely;2024-11-24T15:17:59;true
2;innocently throughout unto;yuck follower;2024-11-24T22:48:45;true
3;substantial;brr;2024-11-24T21:28:56;false
4;gosh;potable why yawningly;2024-11-25T11:26:52;false
5;warmly;oh;2024-11-25T09:52:32;false
6;cake redress;on;2024-11-25T08:43:45;true
7;inasmuch;accidentally unless;2024-11-25T04:02:21;false
8;gee;yuck sense;2024-11-25T02:35:52;false
9;very likewise;anti unlike;2024-11-25T05:10:05;false
10;um;annual quintuple cannon;2024-11-24T15:22:44;false
